url,name,maps_link,address,search_urls,phone_number
https://dutchie.com/dispensary/good-cannabis/info,GOOD Cannabis - Fairbanks,https://www.google.com/maps?q=356%20Old%20Steese%20Hwy%2C%20Fairbanks%2C%20AK%2099701,"356 Old Steese Hwy  Fairbanks, AK","https://www.google.com/search?q=GOOD+Cannabis+-+Fairbanks+356+Old+Steese+Hwy++Fairbanks,+AK+phone+number",(907) 452-5463
https://dutchie.com/dispensary/uncle-king-circle/info,Uncle Herb's (King Circle),https://www.google.com/maps?q=209%20King%20Cir%2C%20Anchorage%2C%20AK%2099515,"209 King Cir  Anchorage, AK","https://www.google.com/search?q=Uncle+Herb's+(King+Circle)+209+King+Cir++Anchorage,+AK+phone+number",(907) 243-4372
https://dutchie.com/dispensary/ak-frost/info,AK Frost,https://www.google.com/maps?q=5200%20A%20St%2C%20Anchorage%2C%20AK%2099518,"5200 A St  Anchorage, AK","https://www.google.com/search?q=AK+Frost+5200+A+St++Anchorage,+AK+phone+number",(907) 563-9333
https://dutchie.com/dispensary/hillside-roots/info,The Roots Hillside,https://www.google.com/maps?q=8639%20Toloff%20St%2C%20Anchorage%2C%20AK%2099507,"8639 Toloff St  Anchorage, AK","https://www.google.com/search?q=The+Roots+Hillside+8639+Toloff+St++Anchorage,+AK+phone+number",(907) 868-8639
https://dutchie.com/dispensary/osh/info,OSH,https://www.google.com/maps?q=Anchorage%2C%20AK%20,"Anchorage, AK","https://www.google.com/search?q=OSH+Anchorage,+AK+phone+number",N/A
https://dutchie.com/dispensary/uncle-herbs-anchorage/info,Uncle Herb's (Arctic Spur),https://www.google.com/maps?q=6511%20Arctic%20Spur%20Rd%2C%20Anchorage%2C%20AK%2099518,"6511 Arctic Spur Rd  Anchorage, AK","https://www.google.com/search?q=Uncle+Herb's+(Arctic+Spur)+6511+Arctic+Spur+Rd++Anchorage,+AK+phone+number",(907) 561-4372
https://dutchie.com/dispensary/topshelf-herbs-of-alaska/info,Top Shelf Herbs of Alaska,https://www.google.com/maps?q=901%20Photo%20Ave%2C%20Anchorage%2C%20AK%2099503,"901 Photo Ave  Anchorage, AK","https://www.google.com/search?q=Top+Shelf+Herbs+of+Alaska+901+Photo+Ave++Anchorage,+AK+phone+number",(907) 222-2488
https://dutchie.com/dispensary/cosmic-cannabis-company/info,Cosmic Cannabis Company,https://www.google.com/maps?q=261%20E%20Bunnell%20Ave%2C%20Homer%2C%20AK%2099603,"261 E Bunnell Ave  Homer, AK","https://www.google.com/search?q=Cosmic+Cannabis+Company+261+E+Bunnell+Ave++Homer,+AK+phone+number",(907) 435-0508
https://dutchie.com/dispensary/thee-treasure-chest/info,Thee Treasure Chest,https://www.google.com/maps?q=1000%20Water%20St%2C%20Craig%2C%20AK%2099921,"1000 Water St  Craig, AK","https://www.google.com/search?q=Thee+Treasure+Chest+1000+Water+St++Craig,+AK+phone+number",(907) 826-2499
https://dutchie.com/dispensary/dankorage/info,Dankorage,https://www.google.com/maps?q=2812%20Spenard%20Rd%2C%20Anchorage%2C%20AK%2099503,"2812 Spenard Rd  Anchorage, AK","https://www.google.com/search?q=Dankorage+2812+Spenard+Rd++Anchorage,+AK+phone+number",(907) 279-3265
https://dutchie.com/dispensary/true-dank/info,True Dank,https://www.google.com/maps?q=1550%20S%20Cushman%20St%2C%20Fairbanks%2C%20AK%2099701,"1550 S Cushman St  Fairbanks, AK","https://www.google.com/search?q=True+Dank+1550+S+Cushman+St++Fairbanks,+AK+phone+number",(907) 451-4516
https://dutchie.com/dispensary/copper-nugget-dba-good-cannabis-mccarthy/info,GOOD Cannabis - McCarthy,https://www.google.com/maps?q=Glennallen%2C%20AK%2099588,"Glennallen, AK","https://www.google.com/search?q=GOOD+Cannabis+-+McCarthy+Glennallen,+AK+phone+number",N/A
https://dutchie.com/dispensary/fivepointcannabis-victoriapark/info,FivePoint Cannabis 1st St,https://www.google.com/maps?q=1318%201%20St%20SW%2C%20Calgary%2C%20AB%20T2R%200V7,"1318 1 St SW  Calgary, AB","https://www.google.com/search?q=FivePoint+Cannabis+1st+St+1318+1+St+SW++Calgary,+AB+phone+number",+1 825-540-1318
